name	seq
aaji dokhino duyaar	dnn's's's's's's's'rn's'r's'sNddnn's's's's'smmppppddddddNNNNNNNddnnnnnnn's's's's's's's'r'rnnn's's'r'rnn's'sddnnnn's's's's's's's's's's's's'rnn's's'r's's'sNNddddnnnn's's's's's's's's'smmmmpppppppdddddddNNNNNNNddnnnnnnn's's's's's's's'r'rnnn's's'r'rnn's'sddnnnn's's's's's's's's's's's's'rnn's's'r's's'sNNddddnnnn's's's's's's's's'sdnn's's's's's's's'rnn's's's'smmppppddddNNNNNNdnnnn's's's's'rnn's'rn'sdnn's's's's's's's'rn's'r's'sNddnn's's's's'sdnn's's's's's's'r'sn's's's's's's's'sn's'r'r'r'sn's'r's's'sNdddnn's's's's's's'r'sn's's's's's's's'sn's'r'r'r'sn's'r's's'sNdddN's'm'm'm'm'm'm'm'g'm'p'm'p'm'g'g'g'g'g'g'g'g'm'm'm'm'm'm'm'm'm'g'g'g'g'g'm'm'g'g'r'r's's's's's's's'r'r'r's's's's'r'r'r's'snn's's's's's's'smmmmmmmmmpppppppdddddnn's's'rnn's'sddnnnn's's's's's's's's's's's's'rnn's's'r's's'sNNddddnnnn's's's's's's's's's's'sssmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmddnnnn's's's's's's's's'snn's's'r's's's'sNNdddddddNNNNNNNnnnnnnn's's's's's's'sddnnnn's's's's's's's's's's's's'r's'sn's's's's's's's's's's'snn's's'r'r'r'r'r'r's'snn's's'r's's'sNNNdddddnnnn's's's's's's's's's's's's'r's'sn's's's's's's's's's's'snn's's'r'r'r'r'r'r's'snn's's'r's's'sNNNdddddNN's's's's'm'm'm'm'm'm'm'm'm'm'm'm'g'g'p'm'm'm'g'g'g'g'g'g'g'g'g'm'm'm'm'm'm'm'm'm'g'g'g'g'g'm'm'g'g'r'r's's's's's's's'r'r'r's's's's'r'r'r's'snn's's's's's'smmmmmppppdddn's'rn'sdnn's's's's's's's'rn's'r's'sNddnn's's's's's's's's's's
aaji e aanondosondhya	.nRgMMppppdMdMggmgggggMpppdMgmgRRgpgRRss.n.nRRggMMppppddMMddMMgggmmggggggggggppMddp's's's's's's's's'snn'R'R's's's's'snn'R'R'g'g'g'R'R's'snn'R'RnnddnnddppppppppddMMddMMggmmggRRRggppggRRss.n.nRRggMMppppddMMddMMgggmmgggggggmmggpppppppppppppddMMMMMggmmggggMMddMMggmmggRRRRsss.n.nRRRRggmmggggggggMMddnn's's's's's's'snn'R'R's's's's'snn'R'R'g'g'R'R's's'snn'R'RnnddnnddppppppppddMMddMMggmmggggMMnnddppppMMggRRggppggRRss.n.nRRggMMppppddMMddMMgggmmgggggggMMppppppddMMggmmggRRRggppggRRss.n.nRRggMMppppddMMddMMgggmmgggg
aaji jhorer raatey	ssrmrmpppmNdpmpmGGGGrmGrsrGrs.nssssspNmpdn's's'r'r'sn's's's's'sp'G'G'r'snn'snn's'r'sNNdppppdN'r's'sd's'sNNdpmmmmmNNdpmGGGGGrmGrsrGrs.nssssssssssrmrmpppmNdpmpmGGGGrmGrsrGrs.nsssssssssssss.nsrrrrrrrgmpddppmgrgmmmmmpNmpdn's's'r'sn's's's's's'G'G'G'r'sn'snn's'r'sNdppppdN'r's's'sN'sNNdpmmmmppNNdpmGGGGGrGGrsrGrs.nssssssssssrmrmpppmNdpmpmGGGGrmGrsrGrs.nsssss
aaji jhoro jhoro	ssssrrrrrgmmpmppssssrrrrrgmmpmpppppp's's's'snn's's's's's'r'rdd's'sNNddpppggmmpppp's'sNdppdpmgmppmGrssrgmmpmppssssrrrrrgmmpmpppppppppppdnn'sn'sNNNNd'sNdpppdpdNdpppdpdNdpppppppppppdnn'sn's's'sn's'r'r'r'r'G'G'r's'r'G'r'sn's's's's's'r'sNdNNNNpppp's'sNdppdpmgmgmgmppmGrssrgmmpmppssssrrrrrgmmpmpppppNNNNNdNNNdd's'sNdNNNdpdNdpppdpggggmmmNNNNNNdNNNdd's'sNdNNNdpdNdpppdpggggmmmmpppppppdnnn's's's'sNNNNNd'sNdpdNdpppdNdpppdpdNdppppppppp's'sNdppdpmgmgmgmppmGrssrgmmpmppssssrrrrrgmmpmp
aaji joto taara	gmp's'sNddppdNNdppmgsggmmmmmmgmppppppdpdNddggmmpp's'sNNddppdNNdppmmggssgggmmmmmmmgmppppppdpdNddgmp'sNdpdNdpmgsggmmmmmdddnn's's'sn'r'r'sn's'sn's's's's'g'r'm'm'g'g'r'sn's's'sNNddpppdpppNddddddddd'sn's'snn's'sn's'r'g'g'sn's's's'sdd'sNNdpdpggmmdddN'sgmp'sNdpdNdpmgsggmmmmmmmmmmgmpppppppppmddddddddpdNNNNNNNNNNNNdN's's'sNNddddNdpdpmmgsggggmmmmmdddnn's's'sn's'r'sn's's's's's'g'r'r'm'm'g'g'sn's's'sd'sNdNpppdpppNddddddddd'sn's'snn's's'sn'sn'sn'sn'sddd'sNddpmgmmdddN'sgmp'sNdpdNdpmgsggmmm
aaji shubhodiney pitaaro bhaboney	pdppmggmggrssrgrrggppsssrrssssdddppdddpp's'snnddpppp's's'sppdddpp's'sndppppdppmggmggrssrgrgpssrsssssssssss.nsrs.n.d.p.p's'snnddppmmggrrssssssssss.nsrs.n.d.p.p's'snnddppmmggrrss's'spddp's'sndppp's'spddp's'sndppppdppmggmggrssrgrgpssrrssssssssssss.nsrs.n.d.p.p's'snnddppmmggrrssssssssss.nsrs.n.d.p.p's'snnddppmmggrrss's'sppdddpp's'snnddpppp's'sppdddpp's'snnddppppppddppppmmggggmmggggrrssssrrggrrggppsssrrssssssssssss.nsrs.n.d.p.p's'snnddppmmggrrssssssssss.nsrs.n.d.p.p's'snnddppmmggrrss's'spdddpp's'snnddppppppddppppmmggggmmggggrrssssrrggrrggppsssrrsss
aakashbhora surjo tara	ssssssssssssssss.nrrrrrrrrmmmmmgpmmmmmmrrmmmmmmmmmmmmmgggppmmmmmmmgrpMppppppMppppMppddNddsrrrrggmpdpmmmgmrrrpMppMpdnnndppssssssssspppppMdddddddddddpnnnnnnnnnnnd's's's's's'sn'sndn'sndnpppppppppppMdddddddddddpnnnnnnnnnnnd's's's's's'sn'sndn'sndnpppppp'g'g'g'r's's'sn'r's'sndppprrrrgrgmggpppppddsrrrrggmpdpmmmgmrrrpMppMpdnnndppssssssssssmmmmmmsmmmmgpmmmmmmmmmmmgppMpppppdnn'sn'r'sn'sdpp's'sn'sdpMdpmmmmmsmmmmmmsmmmmmgpppppppddsrrrrggmpdpmmmmgrrrrpMppdddNNNddpnnn's's's's's'sddnnddnnnnn's's's's's's's'snnddnndd's's's'snnnnnn's'snnddpppppp'g'g'g'g'g'r'r's's's's's's'snn's's'sddNNpppprrrrrrggrrggmmmpppppppdddssrrrrrrgggmmppddpmmmmggmmrrrrrrppMMpppMMppddnnnnddpppssssssssss
aalo aamar aalo ogo	sss.nssrrrssrrrgggggmppdnnnnndnn'snndpdpmggrrrggpmgggggsss.nssrrrsrrgggmppdnnnnndnn'snndpdpmggrrrggpmgggggpppdddnnnnnnnnpppppddnnnnn's's's's's's'g'g'g'g'g'g'g'g'g'g'm'm'g'g'g'r'r'r'r'r's'snnnppddd'r'r's's's's's'spppppdddddnnnnnnnnnnpppppddnnnnn's's's's's's'g'g'g'g'g'g'g'g'g'g'm'm'g'g'g'r'r'r'r'r's'snnnppddd'r'r's's's's's's'g'g'g'g'g'r'r'r'r'r's's's's'snnnnndddddpppppmmggggggsssss.n.nsssrrrrrssrrrgggggmmpppddnnnnnnddnnn's'snnnddppddpmmgggrrrrrggggppmmggggggpppMpppnndddpmmgrgmmggggggggggrpppmmmgggrrgmmgggggpppMpppnndddpmmgrgmmggggggggggrpppmmmgggrrgmmgggggpppdddnnnnnnpppdnnn's's's's's'g'g'g'g'g'g'm'g'g'r'r'r'snnpdd'r's's's's's'g'g'g'r'r'r's's'snnndddpmpmgggggsssss.n.nsssrrrrrssrrrgggggmmpppddnnnnnnddnnn's'snnnddppddpmmgggrrrrrggggppmmggggg
aaloker ei jhornadharay	G'G'G'R's's's'R'sNNDpNDpppppppppppppppppppppppppppppmmpppNNDDDDDDDsssrmmmpppDDD'G'G'G'R's's's'R'sNNDpNDpppppppppppppppppmppNDDDDDDssrmmmpppDDD'G'G'G'R's's's'R'sNNDpNDppppppDDDDDDn's's's's's's's's's'sn's's'R'R'R'R'R'R'R'R'R'R'R'R's's's's's's's's'RNNDDppppDDDDDDn's's's's's's's's's's's's'snn's's's'R'R'R'R'R'R'R'R'R'R'R'R'R'R'R'R'R'R'R's's's's's's's's's's's's's's'R'RNNNNDDDppppppppDDDD's's's's's's's'R'R's'sNNNNNNDDppNNDDppppsssssss'G'G'G'G'G'r'r'G'G'G'r'r'G'G'G'r'r'G'G'G'r'r'G'G'G'r'r'G'G'G'r'r'G'G'r'r'G'G'G'r'r'm'm'm'm'G'G'G'G'R'R's's'R'G'G'R's's's's's's'G'G'G'G'R'R's's's'R'R's's'sNNNNNsssRRmmmmppppDDDD'G'G'G'G'G'R'R's's's's's'R'R's'sNNNNDDppNNDDppppppppsssssRRmmmmmmmggmmppppppppppmmppDDDDDDDDDDDDDpppppppppmmppGGGGrrGGGGppmGGGRRsssssssRRmmmmmmmggmmppppppppppmmppDDDDDDDDDDDDDpppppppppmmppGGGGrrGGGGppmGGGRRsssssssDDDDDDDDDDnn's's's's's's's's's's's's's's's's's'snn's's'R'R'R'R'R'R'R'R'R'R'R'R'R'R'R'R'R'R'R's's's's's's's's's's's's's's'R'RNNNNDDDppppDpDDDDDDDDDnn's's's's's's's's's's's's's's's's's'snn's's'R'R'R'R'R'R'R'R'R'R'R'R'R'R'R'R'R'R'R's's's's's's's's's's's's's's'R'RNNNNDDDpppppppppDDDD's's's's's's's'R'R's'sNNNNNNDDppNNDDppppsssssss'G'G'G'G'G'r'r'G'G'G'r'r'G'G'G'r'r'G'G'G'r'r'G'G'G'r'r'G'G'G'r'r'G'G'r'r'G'G'G'r'r'm'm'm'm'G'G'G'G'R'R's's'R'G'G'R's's's's's's'G'G'G'G'R'R's's's'R'R's's'sNNNNNsssRRmmmmppppDDDD'G'G'G'G'G'R'R's's's's's'R'R's'sNNNNDDppNNDDppp
aamader shantiniketan	ssss.dssrssrrgggggggdddddppMMpppppmmggmmmggrrssssssssrrssrrgggggggggggppppppppppppppMMppp's's's's'snnnnndddddpppppgggrssrsssssssggpppMppdddpdd's's's's'sn'r's's's'sppppMppdddpdd's's's's'sn'r's's's's's's's'snnndddpppddpddp's'snddpggrssrssssssssrggggggggggrrgggpppppmmmmmgggggrrgggpppppmmmmmgggggrrrrrssss.n.n.d.d.drr.n.nsssssssrrgggggggggggggggrrgggpppppmmmmmgggggrrgggpppppmmmmmgggggrrrrrssss.n.n.d.d.drr.n.nsss.n.nsssssspppppMMpppdddddppddd's's's's's's's's'snn'r'r's's's's's's'sddpppppMppdddpdd's's's's'sn'r's's's'sd's's's's's'snnndddpppddpddp's'sndpp.dssrsrggggggssrgggggggggrggpppmmmgggrggpppmmmgmmrrrss.n.d.dr.nssssrgggggggggrggpppmmmgggrggpppmmmgmmrrrss.n.d.dr.nss.nssssspppMppdddpdd's's's's'sn'r's's's'sppppMppdddpdd's's's's'sn'r's's's's's's's'snnndddpppddpddp's'sndpp.dssrsrggggg
aamar bela je jaey	dnn's'sn's'sn'r's'sNddddNdpmggmddN'r'sNdpdn's'sn's'sn'r's'sNddddNdpmggmddN'r'sNdpdn's'sn's's's'g'g'g'g'g'g'm'g'p'p'm'g'r'sn'sn's's'sn's'G'G'r's'r'sn's's's'g'g'g'g'g'g'm'g'p'p'm'g'r'sn'sn's's'sn's'G'G'r's'r'sn's'sn'r's'sNddd'sNdpmggsgggmmmsgggmmmgmdddNdpmgmddN'sdnn's'sn's'smdddNNNdN'sNddNpp's'sn's'spdp'sn'sNdpmgmdddNNNdN'sNddNpp's'sn's'spdp'sn's'snnnn's's's'm'm'g'r'r'sn'smdddNdpdN'r's'sNdd's'g'g'g'g'g'g'g'g'r'g'm'm'g'r'r'r'G'rn'sn'r's'sNddddNdpmggmddN'sdnn's'sn's
aamar bhanga pother	gmpp's'snpppMpmpmggmndpMdpmgr.nrs.n.nsmmg.n.nsmmmgggppMMpmmgr.n.nrsppp's's'snpppMpmpmmgggmnddpMdpmmgr.n.nrspppnnn's's's'snn'spp's'snn'snnndp's's'snppp's's'snppMdMpmmgggmppMpmmgr.n.nrsppp's's'snpppMpmpmmgggmnddpMdpmmgr.n.nrsssssssmmmgsspMpmggrgmpmgr.nrsssggmppMp's'snMpmgrgpmgr.nrsppnn's's'sn'sn'sp's'sn'snpdn's'snp's's'snpMpmgggmdpmgr.nrspp's'snppMpmpmggmndpMdpmgr.nrs
aamar din phuralo	ssrgrpmmgrgrrrrmmmmmmgpmgrgsrrgrpmmmgrgrrrrrmmmmmmmmpppppppmmNNdprrgrpmmmgrgrrrrrmmmmmmmmgpmggrgsrrgrpmmmgrgrrrppnnnnn'sn's's'sppnn's's's's's'sn'r's'sNdpppdpmmmgrgrrrrrrggmmmmgrrgmgrss.d.dsssss.nsrrrrrmmmmmmgmgpmgrmrrmmmmpppppmmNdprgrpmmgrgrrrmmmmmmgpmgrgsrgrpmmgrgrrsrrrrrgmpppmdpmgrppmpmpmm'sdNprrgrgmmdpmgrsrrmpppnnnndpppnn's'r'g'r'sndn'sNNNNdddmmddNd'r'sNNdpdpmgmmNddddsrgmppdpgrgmpnnnn'snn'r'sNdpmgrgssrgrpmmgrgrrrmmmmmmgpmgrgsrgrpmmgrgr
aamar doshor je jon	s.n.nsGGGrrGGGrrssrrGGGrrssssssggggggggsssggmmppDDpGGGGrrss.n.nssGGGGGrrrGGGGrrssrrGGGrrssssssggggggggsssggmmppDDpGGGGrrss.nsGGGrrGGGrsrGGrsssmmppppppppdNdNd'sNdpppppNd'sNNddppppdNdNd'sNdpppppppdpmggmmmmmmppmGGrGGGrs.nsGGGrrGGGrsrGGrsssmmmppppppppppppppddnnn's's'snnn'r'r's's'sNNNNNdd's'sNNNdddppppppppddnnn's's'snnn'r'r's's's's'sNNddd's'sNNNddppppppNNdd's'sNNNdddpppppppppddppmmgggmmmmmmmpppmmGGGrrGGGGrrss.n.nssGGGGGrrrGGGGrrssrrGGGrrsssssssmmmmmpppppppdpmpNNNdd'sNNNNNdpdpNddppppgmmmpppppppdpmpNNNdd'sNNNNNdpdpNddppppppppppppppppddnn's'snn's's'sNNNppppppppppddnn's'snn's's's's'sNdd'sNNdpppppNd'sNNddpppppppdpmggmmmmmmppmGGrGGGrs.nsGGGrrGGGrsrGGrss
aamar ei poth chawatei	mmgrgmmdpmgrs.n.d.nssss.n.d.ns.nrs.n.d.pss.n.ns.nsrrrgrrgmggmdpmmgrgmmdpmmgrs.n.d.nsspnn's'sndMpMpMpdpmpmggpnn's'sndMpMpMpdpmpmggsss.nsrrgrgMMpsss.n.nssssss.n.ns.nsrrrgrrgmggmdpmmgrgmmdpmmgrss.n.d.nsss.p.p.p.d.d.d.p.d.n.n.n.n.n.d.n.nsss.nsrrrr.n.nsgggggrgmmmmmgrrs.n.n.d.nssrr.p.p.p.d.d.d.p.d.n.n.n.n.n.d.n.nsss.nsrrrr.n.nsgggggrgmmmmmgrrs.n.n.d.nssrrpnnn's's'snddpMppMppMpdppmpmmggsss.nsrrgrgMMpsss.n.nssssss.n.nsrrrgrrgmggmdpmmgrgmmdpmmgrss.n.d.nss
aamar hridoy tomar aapon	Rs.NssmmmmmmmppDmmpppppNDDppmmpGGGGGppppNDDppmmpGGGGGmGGGRRss.N.NssssmmmmmmmmppDmpppNDpmpGGGGppNDpmpGGGmGGRs.Nssmmmm's'G'G'R's's's's's's's'RN's'R'sNDDDDDDN'sN'G'G'R's's's's's's's'RN's'R'sNDDDDDDDDN'G'G'G'R's'sNDpmGRssmmmmDDDN's'RN's's's's's's's'G'G'G'r'm'G'R's's's'G'R's's'RNN'G'G'R'G'R's's's's's'sDDDN's'RN's's's's's's's's'G'G'G'G'r'r'm'm'G'R'R's's's's's'G'R'R's's's'RNNNN'G'G'G'G'R'R'G'G'R's's's's's's's'R'R's's'sNNDDppmmDDDNN's's'R'RNN's's's's's's'R'R's's'sNNNNppppNDDppmmGGRRssssmmmmm.D.D.D.D.N.N.N.NsssssssssssssmmmmmmmmmmmmmmppDDmmpmmGGrrGGGGGGGGGmmGGGGGRRGGRRssssssDDDDDNN's's's'RNN's's's's's's's's'G'G'G'G'r'r'm'm'G'R'R's's's'G'G'R'R's's'R'RNNNN'G'G'G'G'R'R'G'G'R's's's's's's'sDDDDDNN's's's'RNN's's's's's's's's'G'G'G'G'r'r'm'm'G'R'R's's's'G'G'R'R's's'R'RNNNN'G'G'G'G'R'R'G'G'R's's's's's's's'R'R's's'sNNDDppmmDDDNN's's'R'R'sNN's's's's's's's's'R's's'sNNNNppppNDDppmmGGRRssssmmmmmmmmmm
